session_id,child_id,activity_id,session_date,avg_attention_duration,response_time,task_completion_rate,engagement_score,number_of_attention_shifts
379,10159,814,2025-12-10,314.5,6.67,47.16,50.21,12
380,10496,687,2025-08-03,705.41,4.77,85.95,100.00,13
381,6928,821,2025-11-02,855.45,,58.09,75.09,7
382,8117,1115,2025-03-17,10.18,9.26,73.88,76.89,16
383,6412,356,2026-01-14,401.92,4.98,53.09,57.32,16
384,7806,1032,2025-12-07,712.24,2.32,45.43,29.70,14
385,2812,1494,03-19-2026,614.37,6.94,54.65,60.93,15
386,2746,109,2025-02-25,,9.64,62.70,55.89,13
388,2547,1318,2025-07-30,447.44,5.83,39.57,61.46,
389,3548,250,2025-05-19,304.42,9.47,35.43,49.70,15
390,10808,641,2025-03-26,5.95,<1,53.53,61.43,13
391,9677,444,2025-03-09,467.23,8.28,34.15,76.88,20
392,7203,529,2025-02-06,914.94,7.54,68.04,68.64,6
393,6551,1125,0000-00-00,10.1,4.96,64.85,84.59,13
394,7323,239,2026-04-05,545.04,,42.29,52.57,9
395,4408,1028,2025-12-22,239.59,9.54,38.81,45.75,13
396,9630,366,2025-01-22,653.06,TBD,57.06,42.52,12
397,6288,318,2025-08-10,498.0,,52.95,63.73,10
398,2208,386,2026-06-19,831.43,10.06,38.55,44.62,15
399,6226,149,2024-06-10,723.22,<1,70.69,87.14,11
400,3944,1045,2025-08-16,750.1,19.13,76.47,78.10,8
401,3239,1022,2025-05-20,456.79,14.82,42.46,48.03,14
402,11053,221,2026-01-05,553.26,1.91,63.38,63.46,21
403,6404,275,04-24-2025,207.56,3.1,68.87,73.61,10
404,2827,823,2025-11-25,467.2,8.54,64.37,71.77,12
405,4735,1273,19 Jul 2025,,3.63,57.56,68.25,11
406,6253,826,2026-03-20,515.75,2.7,31.25,40.76,21
407,4997,1093,2026-04-19,809.57,4.09,56.64,64.86,11
408,6194,1174,03-07-2026,,7.65,63.36,68.74,10
409,4194,797,16 Feb 2025,726.17,6.58,44.09,66.10,10
410,4452,1335,2025-10-10,269.51,16.7,56.81,64.43,17
411,7478,803,2024-08-26,519.46,8.88,0.70,57.76,14
412,3143,983,2025-03-01,284.62,11.39,51.97,67.50,17
413,7539,1130,2025-07-19,456.29,12.84,43.65,47.71,9
414,866,405,12-07-2025,371.07,11.33,,42.16,13
415,1742,1015,2025-10-20,418.56,,54.24,76.51,12
416,1452,1354,2025-07-02,733.49,8.16,48.44,57.54,14
417,10591,780,2025/08/09 00:00:00,700.24,10.12,72.35,92.12,9
418,7548,462,2025/04/08 00:00:00,738.35,4.5,48.34,62.88,17
419,11500,1018,2026-04-22,345.66,7.57,32.04,30.09,18
420,2224,1079,2026-01-15,570.17,11.13,34.46,40.14,14
421,2937,118,2025-09-26,778.28,4.22,39.17,42.72,12
422,2289,1361,2025-11-07,434.01,6.71,50.85,60.37,13
423,8829,988,2025/11/20 00:00:00,12.45,5.76,72.97,100.00,14
424,3659,119,2025-11-17,565.69,7.52,55.80,63.36,9
425,4482,147,2024-11-15,not recorded,12.27,80.51,100.89,13
426,10879,808,2025-12-13,628.54,4.75,72.81,82.30,11
427,3310,963,2025-12-19,356.25,7.65,56.02,64.40,14
428,11501,286,2024-07-01,427.36,15.81,,76.33,12
429,10267,1038,2025-02-17,532.81,10.66,57.78,62.25,11
430,3646,221,2024-10-07,507.42,5.75,52.90,44.03,11
431,3838,836,2025-05-28,503.87,9.6,70.96,75.29,8
432,2302,1149,2025-08-02,476.96,2.28,58.31,66.80,14
433,240,605,2024-12-24,,8.11,46.34,52.08,9
434,93242,1038,2026-02-27,15.32,1.55,16.90,25.23,20
435,11342,1310,"September 25, 2024",650.19,5.17,57.28,55.79,13
436,9971,616,2025-04-09,488.59,6.28,68.19,56.39,9
437,3128,138,2025-07-30,389.49,6.57,52.94,56.71,17
438,11586,1081,2025-08-28,401.92,7.98,56.56,60.70,21
439,358,1496,2025-03-30,453.45,0.89,68.99,79.49,13
440,2377,170,2025-03-13,610.5,2.55,66.91,80.40,9
441,3125,1191,26/08/2025,540.73,5.03,74.98,86.39,13
442,6950,1209,2024-11-08,595.1,4.87,71.76,78.92,12
444,6162,154,2026-03-28,684.22,2.99,77.37,90.30,9
446,7655,1335,2024-11-23,632.53,4.96,39.38,60.99,11
447,1470,150,N/A,809.6,5.5,63.80,82.94,10
448,7511,823,04/10/2025,219.39,10.61,43.29,59.66,10
449,4469,412,2026-01-09,521.97,12.71,41.69,42.14,13
450,3381,442,2025-04-17,618.81,14.9,68.82,81.01,20
451,9363,844,04 Oct 2025,395.3,14.16,32.45,46.45,16
452,4396,450,2025-11-25,136.27,17.38,44.51,70.70,17
453,5729,1465,2024-12-16,157.82,6.31,58.86,59.96,15
454,7518,752,2026/06/04 00:00:00,736.2,,584.28,72.44,14
455,4619,1473,2026-01-20,475.25,10.19,58.15,68.39,13
