activity_id,org_id,name,duration,group_size,interaction_type,activity_format,participation_type,difficulty_level,movement_required
89,3,Cooking Basics Lab,22.0,7,GRP, PHY , Voluntary ,easy,1
90,3,Board Games Program,-39.0,1,Indiv,mixed,VOL,Easy,1
91,3,Robotics Lab Session,49.0,13,Group,Digital,Voluntary,Easy,0
92,3,Coding Basics Program,60.0,2,pair,NA,Voluntary,  Moderate  ,0
93,3,Puzzle Challenge Track,77.0,5,Group,HYB,Voluntary, Med ,0
94,3,Cooking Basics Program,30.0,1,Individual,Physical, Voluntary ,Easy,
95,3,Nature Walk Session,72.0,, group ,PHY,Assigned,Medium,
96,3,Drawing Studio Track,40.0,2,Pair,Physical,Assigned,Easy,1
97,3,Math Games Workshop,29.0,5,Group,In-person,  Assigned  ,level 1,1
98,310,Music Circle Lab,63.0,,group work,Blended,unknown,Medium,1
99,4,Nature Walk Track,50.0,10,Group,  Hybrid  ,VOL,Medium,1
100,4,Animation Studio Module,45.0,1,IND,Physical,Opt-in,  MEDIUM  ,1
101,4,Storytelling Track,28.0,1,Individual, Hybrid ,Voluntary,Easy,1
102,4,Nature Walk Club,16.0,9,group work,Physical,Voluntary,  Easy  ,1
103,4,Origami Club,37.0,1,INDIVIDUAL,Online,Voluntary,level 3,0
104,4,Origami Track,27.0,10,Group,Physical,VOL,E,1
105,4,Coding Basics Workshop,43.0,14,Group,Digital,Voluntary,easy,0
106,4,Animation Studio Track,49.0,10,Group,Online,Voluntary,medium,0
107,4,Debate Club Session,51.0,2,Pairs,PHYSICAL,Voluntary,Easy,1
108,4,Debate Club Club,56.0,13,GROUP,Blended,ASG,  level 3  ,1
109,4,,38.0,2,  2-person  ,NA,VOLUNTARY,Hard,1
110,5,Coding Basics Module,59.0,8,group work,Physical,Voluntary,HARD,1
111,5,Chess Tactics Workshop,31.0,1,IND,physical,ASSIGNED,Low,1
112,5,Photography Session,62.0,,Individual,Digital,VOL,High,0
113,5,Board Games Workshop,25.0,1, INDIVIDUAL ,Physical,Assigned,level 1,1
114,5,Lego Build Module,33.0,1,Individual,Blended, Voluntary ,level 2,0
115,5,Lego Build Lab,,1,individual ,Offline,voluntary,Easy,1
116,5,Math Games Workshop,52.0,12, Group ,Digital,opt in,Easy,1
117,5,Animation Studio Club,51.0,1,  Individual  ,  Physical  ,Assigned,level 3,1
118,5,Animation Studio Track,34.0,4,group work, Digital ,Opt-in,EASY,0
119,6,Drama Workshop Lab,66.0,7,Group,HYBRID,Opt-in,HARD,0
120,6,Gardening Workshop,58.0,6,GRP,Offline, Voluntary ,Easy,1
121,6,Drawing Studio Workshop,27.0,2,Pair,Digital,Voluntary,easy,1
122,6,Chess Tactics Program,30.0,2,Pair,In-person,  VOL  ,E,1
123,6,Coding Basics Track,34.0,10,Group,DIGITAL,Voluntary,Medium,0
124,6,Memory Training Module,37.0,1,IND,Physical,  Assigned  ,medium,1
125,6,Animation Studio Track,40.0,7,Group,Offline,Voluntary,Medium,1
126,6,Photography Track,,2, Pairs ,Physical,Assigned, Medium ,1
127,6,Nature Walk Session,60.0,1,Individual,Digital,Voluntary,Easy,0
128,6,Photography Program,19.0,7,group work,physical,Voluntary,Low,1
129,6,Science Experiment Club,44.0,1,Individual,Digital,Mandatory,Hard,0
130,6,Gardening Session,43.0,2,Pair,Hybrid,Voluntary, hard ,0
131,6,Robotics Lab Club,38.0,10,GRP,Physical,Voluntary,MEDIUM,1
132,6,Nature Walk Session,56.0,1,Individual, PHYSICAL ,voluntary,level 3,0
134,6,Creative Writing Workshop,42.0,8,group,hybrid,opt in,?,1
135,6,Reading Club Lab,60.0,2,Pair,Hybrid,VOLUNTARY,Med,0
136,922,Science Experiment Workshop,-14.0,,group,Physical,Opt-in,EASY,1
137,6,Lego Build Session,47.0,5,Group,Physical,?,Easy,1
138,6,Origami Lab,37.0,2,PR,Blended,  Opt-in  ,level 3,0
139,6,Gardening Module,17.0,7, Group ,  Online  ,voluntary,Easy,1
140,6,Creative Writing Session,37.0,1,IND,Physical,Voluntary,Easy,1
141,6,Photography Module,33.0,1,INDIVIDUAL,Digital,  Voluntary  ,easy,0
142,6,Coding Basics Lab,63.0,,individual,Digital,VOL, level 2 ,0
143,6,Drama Workshop Club,59.0,2,2-person,Physical,Voluntary,Hard,
145,7,Gardening Lab,37.0,1,Individual,Physical,Assigned,easy,1
146,7,Cooking Basics Session,56.0,2,Pair,Hybrid,Assigned,level 3,1
147,7,Nature Walk Track,47.0,10,group work,Physical,Voluntary,Med,0
148,7,Team Sports Session,36.0,2,Pair,Digital,Assigned,Hard,1
149,7,Drawing Studio Module,42.0,,Group,Physical,Opt-in,level 2,1
150,7,Dance Session Club,46.0,3,Group,Physical,VOLUNTARY,Medium,1
151,7,Storytelling Workshop,57.0,,  group work  , Offline ,Voluntary,Medium,1
152,7,Photography Lab,38.0,2,PR,Digital,Voluntary,Medium,
153,7,Cooking Basics Club,43.0,1,Individual,Hybrid,Assigned,level 2,1
154,7,Science Experiment Session,45.0,2,pair,Physical,opt in, Easy ,
155,7,Animation Studio Lab,32.0,1,Individual,Offline,VOLUNTARY,Easy,1
156,7,Creative Writing Module,39.0,6,GRP,DIG,Assigned,Easy,0
157,7,Drama Workshop Club,43.0,2, pair ,Digital,ASG,Easy,0
158,7,Dance Session Program,41.0,1,Individual,hybrid,ASG,level 2,1
159,8,Creative Writing Club,39.0,,Group,  Digital  ,Assigned,Easy,1
160,8,Board Games Lab,55.0,2,Pair,Hybrid,Voluntary,Easy,1
161,8,Drama Workshop Track,38.0,8,Grp,Physical,assigned,Easy,1
162,8,Coding Basics Workshop,-39.0,9,Group,Digital,ASG,E,0
163,8,Chess Tactics Session,45.0,11, Group ,In-person,VOL,HARD,1
164,8,Board Games Program,78.0,13,Group,Hybrid,opt in,N/A,1
165,8,Origami Module,60.0,12,Group,HYB,mandatory,hard,1
166,8,Photography Club,43.0,1,Individual, HYB ,ASSIGNED,Unknown,1
167,8,Lego Build Module,38.0,2, 2-person ,Hybrid,Opt-in,Medium,1
168,8,Team Sports Club,54.0,7,GROUP,HYB,Mandatory,level 2,0
169,8,Dance Session Track,<1,2,Pair,HYB, Assigned ,Low,1
170,8,Origami Workshop,37.0,5,Group,Physical,  Opt-in  ,easy,1
171,8,Mindfulness Track,56.0,,individual ,  Hybrid  ,Assigned,Med,0
172,8,Origami Program,44.0,13,Group,mixed,Assigned,level 2,0
173,8,Board Games Lab,23.0,11,group work,digital, VOLUNTARY ,easy,0
174,8,Math Games Workshop,33.0,1,Indiv,In-person,Opt-in,easy,1
175,8,Debate Club Module,-62.0,15,?,mixed,VOLUNTARY,MEDIUM,1
176,8,Nature Walk Program,64.0,10, Group ,Online,assigned,Easy,0
177,8,Debate Club Program,26.0,2,Pair,Digital,Opt-in,Easy,0
178,8,Team Sports Lab,39.0,1,Indiv,Physical,Opt-in,Medium,1
179,8,Drawing Studio Workshop,29.0,9,Group,  Digital  ,Assigned,  easy  ,1
180,8,Memory Training Session,28.0,2,Pair,  Digital  ,Voluntary,Medium,0
181,8,Origami Lab,36.0,9,Group,Physical, VOL ,Easy,1
182,8,Photography Lab,-37.0,12,Group,DIGITAL,Opt-in,  E  ,1
183,8,Creative Writing Club,21.0,1,individual,hybrid,Voluntary,unknown,0
185,8,Board Games Session,54.0,9,unknown,Blended,Voluntary,Easy,0
186,8,Chess Tactics Lab,60.0,1,Individual,Digital,  Opt-in  ,  Easy  ,0
187,8,Team Sports Workshop,,2,PAIR,Hybrid,Voluntary,Easy,1
188,8,Storytelling Workshop,41.0,,  Individual  ,PHYSICAL,Voluntary,Easy,1
189,8,Cooking Basics Program,66.0,10,Group,  Physical  ,Voluntary,Med,1
190,8,Team Sports Track,28.0,7,Group, Offline ,Voluntary,Easy,1
191,8,Robotics Lab Workshop,47.0,2,PAIR,Online,Mandatory,Easy,0
192,8,Dance Session Club,26.0,2,PAIR,Physical,Opt-in,Medium,1
193,8,Nature Walk Track,56.0,2,PAIR,Digital,assigned,MEDIUM,0
194,8,Cooking Basics Program,10.0,,NULL,In-person,ASG,medium,1
195,8,Mindfulness Club,67.0,2,Pair, Hybrid ,  Voluntary  ,Medium,
196,9,Coding Basics Club,--,1, Individual ,  DIG  ,  Voluntary  ,Easy,
197,9,Creative Writing Session,33.0,,NULL,Physical,Assigned,Medium,1
198,9,Gardening Module,48.0,1,individual ,DIGITAL,Assigned,level 2,1
199,9,Debate Club Program,20.0,2,Pair,Hybrid,Assigned,Medium,1
200,9,Creative Writing Workshop,44.0,12,Group, Physical ,Assigned,Medium,1
201,9,Lego Build Session,26.0,,Individual, Physical ,  VOL  ,Medium,1
202,9,Board Games Workshop,53.0,5,Group,PHY,n/a,Hard,1
203,261,Team Sports Program,30.0,9,Group,  Physical  ,ASSIGNED,Easy,1
204,9,Storytelling Module,33.0,1,Individual,HYB,ASG,Medium,
205,9,Dance Session Module,31.0,4,GRP,Digital,Opt-in,Easy,0
206,9,Coding Basics Program,67.0,16,Grp,In-person,voluntary,Medium,1
207,9,Origami Session,48.0,10,Group, Digital ,assigned,Medium,
208,9,Chess Tactics Track,46.0,8,Group,HYBRID, Voluntary ,Easy,1
210,9,Debate Club Lab,-37.0,10,  Group  ,physical,Voluntary,Medium,1
211,9,Debate Club Workshop,19.0,,Individual,Offline,Voluntary,  Low  ,
212,9,Nature Walk Workshop,36.0,2,Pair,Offline,Assigned,  MEDIUM  ,1
213,10,Chess Tactics Session,42.0,8,Group,Hybrid,Assigned,Medium,1
214,10,Math Games Track,,1,Individual,Hybrid,VOLUNTARY,HARD,0
215,10,Photography Session,,2,PAIR,Digital,Assigned,Med,0
216,10,Photography Module,67.0,2,Pair,Physical,assigned,  Hard  ,1
217,10,Photography Lab,37.0,1,individual,  Physical  , Mandatory ,Medium,1
218,10,Nature Walk Track,17.0,1,individual,Physical,opt in,Medium,1
219,10,Origami Track,41.0,8,  group  ,Physical,Voluntary,Medium,1
220,10,,51.0,7,GROUP,Hybrid,VOL,Medium,0
221,450,Chess Tactics Program,70.0,7,GROUP,online,Voluntary,Easy,0
222,10,Chess Tactics Program,28.0,11,group,Digital,assigned,easy,0
223,10,Nature Walk Program,64.0,1,  Individual  ,PHY, Voluntary ,  Hard  ,1
224,10,Origami Track,75.0,11,NA,Physical,unknown,Hard,1
225,11,Robotics Lab Workshop,33.0,6,Group,online,Voluntary,easy,0
226,11,Animation Studio Session,46.0,2,Pair,Blended,VOL, E ,1
227,11,Dance Session Session,42.0,2,Pair,Physical,Voluntary,level 1,1
228,11,Reading Club Lab,30.0,13,Group,  Blended  ,Voluntary,Easy,1
229,11,Debate Club Lab,42.0,1,individual,Hybrid,Voluntary,Easy,0
230,11,Drawing Studio Lab,59.0,1,Individual,Unknown,Opt-in,Medium,0
231,11,Gardening Session,27.0,2, Pair ,mixed,Opt-in,easy,1
232,11,Gardening Lab,-53.0,7,, PHY ,Assigned,Easy,1
233,11,Debate Club Session,50.0,6,Group,Hybrid,Voluntary, Medium ,0
234,11,Drawing Studio Club,41.0,8,GRP,Digital,Voluntary,Easy,0
235,11,Board Games Session,>60,2,Pair,null,  Opt-in  ,level 2,
236,11,Math Games Workshop,54.0,6,group,DIG,VOL,Easy,1
237,11,Drama Workshop Program,41.0,9,Grp,  Digital  ,Unknown,Easy,0
238,11,Chess Tactics Program,34.0,,Group,N/A,Voluntary,Hard,0
239,11,Cooking Basics Module,,9,Group,Digital,Voluntary,Low,0
240,11,Mindfulness Club,52.0,,  Pairs  ,  Physical  ,Voluntary,easy,0
241,11,Reading Club Program,53.0,12,Group,hybrid,Mandatory,level 1,0
242,11,Science Experiment Workshop,59.0,7,Grp,Physical, VOLUNTARY ,Medium,1
243,11,Puzzle Challenge Session,36.0,1, Individual ,hybrid,voluntary,E,1
244,11,Memory Training Track,53.0,,Pair,Digital,Voluntary,Easy,0
245,11,Photography Club,50.0,2,Pair,Digital,voluntary,Easy,0
246,553,Coding Basics Session,,12,group work,  Digital  ,Voluntary,medium,0
247,11,,61.0,13,GROUP,Physical,Assigned,MEDIUM,
248,11,Puzzle Challenge Workshop,50.0,1,Indiv, Hybrid ,voluntary,Difficult,1
249,11,Puzzle Challenge Module,,2,PR,Hybrid,VOLUNTARY,EASY,
250,11,Cooking Basics Program,74.0,9,Group,Physical,Voluntary,Easy,1
251,12,Dance Session Track,47.0,1,  Individual  ,PHYSICAL,Voluntary,Easy,1
252,12,Storytelling Program,61.0,9, Group ,HYBRID,Voluntary,MEDIUM,0
253,12,Origami Club,35.0,4, Group ,physical,VOLUNTARY,E,
254,437,Drama Workshop Module,61.0,9,NULL,hybrid,  Assigned  ,level 3,1
255,12,Robotics Lab Club,54.0,1,Indiv,Digital,ASSIGNED,Medium,0
256,12,Drama Workshop Session,29.0,16, GROUP ,Blended,Voluntary,level 1,1
257,12,Mindfulness Session,45.0,7,Group,Physical,Mandatory,Easy,1
258,12,Origami Track,,7,Group,PHY,mandatory,Medium,1
259,12,Math Games Club,not recorded,2,  2-person  ,Digital,ASG,Medium,0
260,12,Math Games Program,34.0,8,Group,Physical,opt in,easy,1
261,12,Memory Training Module,,1,Individual,Physical, Voluntary ,Hard,1
262,12,Music Circle Club,20.0,1, Individual ,  HYBRID  ,Voluntary, level 2 ,
263,12,Coding Basics Session,82.0,9,Group,Digital, Voluntary ,Hard,0
264,12,Science Experiment Program,24.0,2,2-person,Physical,Voluntary,medium,1
265,12,Lego Build Program,82.0,,GRP,Physical,Voluntary, Hard ,1
266,12,Coding Basics Session,43.0,7,Group, Physical ,VOLUNTARY,Easy,1
267,12,Creative Writing Club,70.0,2,Pair,Digital,Assigned,High,1
268,12,Nature Walk Module,54.0,,Individual,physical,Voluntary,n/a,1
269,12,Math Games Club,59.0,1,Individual,Online,voluntary, High ,
270,12,Board Games Workshop,n/a,11, Group ,Hybrid,ASSIGNED,EASY,
271,12,Coding Basics Session,43.0,1,individual ,  Digital  ,Voluntary, Medium ,0
272,12,Debate Club Track,39.0,1,  Individual  ,Hybrid,  VOL  ,easy,0
273,12,Puzzle Challenge Module,50.0,12,  Grp  ,HYB,VOLUNTARY,Medium,1
274,12,Science Experiment Lab,37.0,1,Unknown,Hybrid,  Opt-in  ,medium,0
275,12,Nature Walk Program,41.0,8,  Grp  ,Blended,VOL,Medium,1
276,12,Team Sports Club,56.0,1,Individual,PHY,  VOLUNTARY  ,Moderate,1
277,12,Team Sports Program,TBD,2,Pair,Digital,Voluntary,Easy,1
278,12,Gardening Lab,44.0,8,GROUP,Physical,Voluntary,Medium,0
279,12,Dance Session Club,36.0,2,Pairs,digital,Assigned,medium,0
280,12,Chess Tactics Program,41.0,2,Pair,DIG,ASG,MEDIUM,0
281,12,Creative Writing Program,40.0,1,INDIVIDUAL,Hybrid,Voluntary,Medium,1
282,13,Drawing Studio Program,57.0,13,Group,DIGITAL,mandatory,NULL,0
283,13,Drawing Studio Session,32.0,1,Individual,Blended,VOL,MEDIUM,1
284,13,Gardening Lab,22.0,1,Individual,Physical,Voluntary,-,
285,13,Origami Session,46.0,2,Pair,NA,Voluntary,Medium,1
287,13,Dance Session Program,,1,individual , PHY ,VOLUNTARY,Hard,1
288,13,Storytelling Program,76.0,1,individual ,mixed,mandatory,level 3,
289,13,Memory Training Club,42.0,2,PR,physical,Voluntary,Low,1
290,13,Dance Session Lab,54.0,1,Indiv,  Offline  ,Assigned,Medium,1
291,13,Creative Writing Workshop,38.0,10, Grp , Physical ,Voluntary,Medium,1
292,13,Origami Program,45.0,2,Pairs,Hybrid, Voluntary ,HARD,1
293,13,Storytelling Module,62.0,2,Pair,HYBRID,Voluntary,Medium,0
294,13,Drama Workshop Session,,8,group,  physical  ,Opt-in, Low ,1
295,13,Drawing Studio Module,61.0,, Group ,physical,  Opt-in  ,Low,1
296,13,Reading Club Lab,18.0,1,Individual,digital,Assigned,Easy,0
297,13,Dance Session Workshop,44.0,2,PR,PHY,VOL,Hard,0
298,13,Mindfulness Module,38.0,8,Group,HYB,Voluntary,level 1,1
299,13,Coding Basics Lab,14.0,9,Grp,Digital,Voluntary,Moderate,0
300,13,Music Circle Club,74.0,9,  Group  ,Hybrid,Mandatory,Hard,1
301,13,,50.0,,Individual,Digital,opt in,MEDIUM,0
302,13,Gardening Workshop,31.0,1,individual ,Physical,Voluntary,Medium,
303,13,Gardening Lab,30.0,7,GROUP,Hybrid,Assigned,Medium,1
304,13,Music Circle Module,51.0,8,Group,Hybrid,VOLUNTARY,level 2,1
306,13,Lego Build Session,75.0,10,GRP,Hybrid,Voluntary,Difficult,0
307,13,Lego Build Program,86.0,13,?,physical,Unknown,level 3,1
308,13,,37.0,9,Group,PHYSICAL,Voluntary,MEDIUM,
309,13,Debate Club Program,45.0,9,Group,  Hybrid  ,  VOL  ,level 2,0
311,14,Lego Build Club,52.0,,group,Hybrid,voluntary,  Medium  ,1
312,14,Creative Writing Track,41.0,1,Individual,Hybrid,Voluntary,hard,0
313,14,Science Experiment Lab,26.0,10,group work,  Digital  ,Opt-in,Easy,0
314,14,Storytelling Program,52.0,11,Grp,online,Voluntary,Medium,0
315,14,Photography Module,24.0,5,Group,online,Opt-in,Easy,0
316,14,Lego Build Program,40.0,2,PAIR,Physical,  Voluntary  ,  Easy  ,1
317,14,Storytelling Workshop,>60,,Group,Hybrid,Voluntary,E,0
318,14,Nature Walk Module,46.0,2,PAIR,Physical,VOLUNTARY,level 2,1
319,14,Drawing Studio Club,21.0,2,Pair,Hybrid,Voluntary,Easy,1
320,14,Creative Writing Session,29.0,2,pair,N/A,Voluntary,Low,0
321,14,Storytelling Session,62.0,6,Group,Blended, Voluntary ,Med,0
322,14,Chess Tactics Program,not recorded,8,Group,In-person,VOL,Med,1
323,14,Origami Club,,16,  group  ,Digital,Voluntary,Low,0
324,14,Photography Module,26.0,2,n/a,Digital,Voluntary,Medium,0
325,14,Chess Tactics Program,42.0,7,Group,Digital,Voluntary,Med,0
326,14,Math Games Lab,36.0,1,individual, PHYSICAL ,Voluntary,Easy,1
327,14,Robotics Lab Session,56.0,1,Individual,Digital,Mandatory,Medium,0
329,366,Origami Workshop,48.0,1,INDIVIDUAL,In-person,Opt-in, Easy ,1
330,14,Robotics Lab Session,26.0,2,PR,  Online  ,Voluntary,Easy,0
331,14,Team Sports Club,18.0,2,Pair,Hybrid,Voluntary,  Low  ,0
332,14,Reading Club Workshop,67.0,2,pair,Physical,voluntary,unknown,1
333,14,Chess Tactics Workshop,27.0,9,group work,Hybrid,Assigned, Medium ,1
334,14,Origami Track,n/a,,IND,hybrid,Voluntary,level 1,0
335,600,Drawing Studio Lab,,5,Grp,Hybrid,ASG,Moderate,0
336,14,Board Games Lab,42.0,9, Group ,online,Voluntary,medium,1
337,14,Math Games Session,68.0,9,Group,Digital,opt in,level 2,
338,14,Animation Studio Module,,1, individual  ,Physical,Voluntary,MEDIUM,1
339,14,Coding Basics Session,59.0,13,Group,Online, VOL , Hard ,0
341,14,Puzzle Challenge Club,36.0,1,Individual,Hybrid,Assigned,easy,1
342,14,Origami Session,18.0,1,  Individual  ,Hybrid,Voluntary,easy,0
343,15,Chess Tactics Program,30.0,1,Individual,Hybrid,Voluntary,Medium,1
344,15,Team Sports Workshop,47.0,1,INDIVIDUAL,Physical,Voluntary,Hard,1
345,15,Science Experiment Lab,59.0,6,Group,Hybrid,voluntary,Hard,0
346,856,Drama Workshop Module,-53.0,13, Group ,Offline,Voluntary,Hard,1
347,15,Chess Tactics Lab,36.0,6, Group ,HYB,VOL,  Easy  ,1
348,15,Origami Workshop,39.0,7,Group,Hybrid,Voluntary,Moderate,0
349,15,Robotics Lab Program,49.0,2,Pair,Digital,Assigned,Medium,1
350,15,Reading Club Program,78.0,13,Group,Hybrid,Voluntary,Medium,1
352,15,Puzzle Challenge Program,81.0,15,Grp,Hybrid,  ASSIGNED  ,Hard,
353,15,Creative Writing Club,42.0,1,Individual,  Physical  ,Assigned,Medium,1
354,15,Nature Walk Workshop,not recorded,,  Group  ,Hybrid,  Voluntary  ,E,1
355,15,Memory Training Club,46.0,2,PR,  Physical  ,voluntary,Med,1
356,15,Science Experiment Session,45.0,,group work,Hybrid,Mandatory,level 2,0
357,15,Team Sports Lab,47.0,2,pair,  In-person  ,voluntary,Medium,1
358,16,Coding Basics Track,16.0,1,Individual,Digital,  Voluntary  ,Medium,0
359,16,Debate Club Module,39.0,7,Grp,Offline, Voluntary ,EASY,
360,16,Music Circle Lab,43.0,2,PR,Hybrid,Assigned,,0
361,16,Music Circle Session,24.0,6,GROUP,Digital, Mandatory ,Easy,1
362,16,Creative Writing Module,65.0,7,Group,In-person,opt in,MEDIUM,1
363,16,Nature Walk Program,30.0,10,GROUP,Physical,Mandatory,Medium,1
364,16,Drawing Studio Club,47.0,12,group work,Hybrid,Assigned,Hard,1
365,16,Coding Basics Program,67.0,1,Individual,Digital,Assigned,level 3,0
