child_id,sleep_duration,screen_time,gaming,social_media_usage,outdoor_time,study_time,free_play
50,9.60,0.0,0.40,0.50,3.50,3.30,2.00
51,9.40,2.0,,1.30,2.00,3.30,3.50
52,,1.5,0.30,0.00,3.90,3.50,3.10
53,9.50,3.0,0.00,1.20,4.00,2.50,3.40
54,,6.0,0.40,0.80,1.60,2.50,3.50
55,9.00,6.1,0.60,0.30,1.90,2.50,
56,8.90,3.0,1.00,1.00,2.30,,1.70
57,11.50,,0.30,0.00,2.00,1.60,5.00
58,,2.8,0.70,1.00,2.30,4.00,2.50
59,10.20,2.3,1.20,0.60,2.40,2.00,4.50
60,7.50,3.3,0.90,0.50,2.30,2.40,2.20
61,8.00,3.0,0.40,0.20,1.00,2.00,2.60
62,10.90,0.5,0.80,1.10,2.00,3.00,2.60
63,,1.0,1.10,0.00,3.00,1.50,4.00
64,7.90,3.0,1.10,1.10,3.00,3.00,2.10
65,8.50,1.6,,0.50,3.00,3.40,3.50
66,11.00,1.0,0.00,0.00,3.00,1.50,3.50
67,10.20,4.0,0.30,0.90,3.20,1.20,3.00
68,11.00,,1.00,1.30,1.50,2.50,0.20
69,,6.0,0.80,1.00,,2.50,0.50
70,8.00,TBD,0.00,0.00,5.30,3.00,3.00
71,9.50,,0.60,0.00,5.00,2.40,
72,9.10,6.0,,0.00,,2.60,2.80
73,10.50,240.0,24.00,0.00,0.00,2.00,2.00
74,9.30,,0.50,0.10,0.90,2.50,
75,9.50,2.5,0.70,2.20,1.50,2.90,3.00
76,9.90,2.5,1.60,0.50,2.50,,1.00
77,9.40,3.5,0.20,0.00,2.00,3.50,3.50
78,10.70,1.4,0.60,0.00,1.00,2.50,2.10
79,10.50,3.5,1.40,0.80,3.70,1.70,1.50
80,10.00,210.0,0.00,0.00,1.50,2.20,4.00
81,10.50,3.2,1.40,0.90,2.60,0.50,4.20
82,9.10,,0.00,0.70,2.90,4.50,1.60
83,9.00,390.0,18.00,42.00,1.50,3.00,2.70
84,10.50,204.0,48.00,0.00,2.50,2.00,3.50
85,10.10,4.0,0.30,,3.50,1.00,3.50
86,10.50,72.0,36.00,6.00,5.90,,2.70
87,10.00,2.5,0.40,0.00,,2.30,2.20
88,10.00,2.0,1.30,0.00,1.50,3.50,1.30
89,10.20,0.0,,0.60,3.30,2.00,4.20
90,10.10,<1,0.60,1.50,0.50,1.40,3.50
91,9.00,--,0.60,0.10,3.30,2.50,2.60
92,9.70,0.0,0.70,0.10,5.70,2.00,2.80
93,10.30,5.0,0.50,,2.20,1.80,1.90
94,8.50,n/a,1.70,0.70,0.50,3.10,3.00
95,10.10,192.0,18.00,60.00,4.00,3.00,2.20
96,,132.0,48.00,0.70,0.10,2.00,4.50
97,9.50,2.0,0.50,0.20,3.00,2.50,3.00
98,9.50,1.8,1.10,0.00,3.50,0.50,4.00
99,9.60,5.5,1.10,1.10,1.50,3.00,2.00
100,11.50,4.5,0.60,0.10,1.80,1.80,3.10
101,10.50,5.7,0.70,0.30,3.00,0.60,3.50
102,10.00,4.0,0.50,0.40,3.00,3.10,
103,,6.0,0.30,0.50,0.60,3.20,2.70
104,11.00,,30.00,66.00,,1.00,4.20
105,10.50,1.5,0.00,,1.80,1.50,
106,9.00,5.0,1.40,0.00,2.00,1.00,0.60
107,12.00,126.0,0.00,48.00,2.90,2.00,3.70
108,11.30,2.0,0.50,0.30,2.00,1.30,4.50
109,10.00,210.0,66.00,42.00,5.00,2.40,2.00
110,10.50,n/a,0.90,0.10,0.00,1.50,3.00
111,7.70,264.0,30.00,1.00,1.10,4.10,1.00
112,9.50,,1.20,0.00,2.10,3.20,
113,9.50,6.0,0.60,0.50,0.70,4.00,1.00
114,9.10,1.0,0.70,0.70,2.50,2.50,4.00
115,11.10,,66.00,0.00,2.00,1.40,4.50
116,9.30,0.8,0.70,0.70,1.50,1.60,4.10
117,9.40,210.0,60.00,48.00,1.50,2.00,4.00
118,,4.2,0.50,0.30,1.80,4.90,1.00
119,9.90,<1,84.00,0.00,2.00,1.50,3.50
120,9.10,150.0,108.00,1.00,2.50,3.00,3.30
121,10.80,4.0,0.60,0.90,3.20,1.10,2.90
122,10.50,114.0,114.00,0.00,5.40,1.00,3.80
123,10.50,240.0,24.00,30.00,4.00,2.30,2.40
124,8.50,2.4,0.50,1.80,1.50,1.20,1.50
125,8.10,2.2,0.70,0.90,0.60,2.00,2.50
126,9.50,4.7,0.30,,1.70,2.00,3.30
127,10.00,300.0,,54.00,1.70,2.50,2.00
128,9.70,114.0,42.00,6.00,2.30,2.00,2.30
129,8.20,270.0,42.00,72.00,3.00,2.50,
130,12.00,1.5,,1.10,3.50,1.40,3.40
131,10.60,4.5,0.40,0.00,2.00,2.00,2.50
132,,,0.50,0.80,0.60,2.70,1.00
133,9.20,,1.00,1.30,1.10,3.30,1.50
134,11.50,126.0,0.00,54.00,1.30,2.60,1.60
135,8.30,84.0,48.00,132.00,2.60,3.60,2.10
136,9.50,0.0,0.20,0.50,0.70,0.50,4.00
137,8.50,4.0,0.00,1.20,,5.40,1.30
138,9.20,4.5,1.30,0.40,1.00,2.80,2.30
139,8.00,n/a,0.50,0.80,0.80,3.50,2.90
140,10.50,not recorded,,,2.00,2.00,6.00
141,9.50,3.3,2.10,0.30,2.20,2.20,2.00
142,10.80,5.0,0.20,0.60,1.50,2.20,3.00
143,9.50,2.2,0.70,0.70,2.80,3.00,3.40
144,8.50,360.0,66.00,84.00,0.50,3.50,2.50
145,10.60,2.5,0.90,0.00,3.20,1.00,2.00
146,9.50,150.0,96.00,,2.40,0.90,3.20
147,10.20,,0.70,0.70,2.30,2.50,4.70
148,10.30,n/a,48.00,42.00,2.30,1.50,3.00
149,9.50,240.0,36.00,0.00,2.00,3.30,4.20
150,9.00,6.7,0.70,0.70,2.90,3.50,0.70
151,7.90,,1.40,,3.00,0.80,3.00
152,10.30,114.0,138.00,0.00,2.00,0.50,3.00
153,,,0.50,0.40,2.50,,2.80
154,9.00,438.0,48.00,66.00,1.00,3.00,1.00
155,8.50,330.0,24.00,36.00,1.50,4.20,2.00
156,11.90,4.5,0.30,0.00,3.50,0.90,3.50
157,9.50,1.5,0.80,0.00,1.90,0.50,3.00
158,8.00,384.0,6.00,0.90,1.50,2.50,3.50
159,,240.0,42.00,,2.30,1.90,3.50
160,10.90,3.6,0.40,0.20,1.00,3.10,3.40
161,11.10,1.5,0.40,0.00,3.90,2.80,2.20
162,8.50,,0.90,0.00,2.00,1.50,
163,11.00,5.1,0.40,0.30,0.40,1.00,4.10
164,8.60,270.0,18.00,90.00,0.70,2.90,1.50
165,8.00,5.3,1.30,0.00,,3.50,2.50
166,11.10,<1,0.10,0.90,2.20,2.20,3.50
167,8.00,180.0,54.00,1.10,3.60,3.50,2.80
168,9.50,4.0,0.00,0.60,3.00,2.70,2.90
169,,2.9,1.30,0.00,3.40,2.10,2.50
170,9.50,<1,30.00,0.00,2.50,3.00,4.20
171,9.50,5.5,1.30,1.50,0.40,3.50,0.90
172,9.40,120.0,0.00,0.00,1.00,2.00,4.00
173,11.00,270.0,42.00,0.90,0.50,0.00,3.50
174,10.00,60.0,66.00,42.00,4.00,0.20,1.50
175,8.60,1.4,0.30,0.00,3.30,1.50,3.50
176,10.40,0.3,,1.40,1.10,,1.80
177,8.00,4.8,0.40,1.00,1.10,,2.30
178,7.50,150.0,24.00,1.10,2.80,3.50,1.20
179,10.10,3.7,0.20,1.00,1.10,2.80,1.50
180,11.00,168.0,36.00,0.10,3.00,2.00,3.00
181,8.50,396.0,108.00,,1.10,3.70,0.00
182,9.20,120.0,54.00,0.30,2.50,1.30,3.80
183,10.50,3.7,0.00,0.20,2.50,3.50,3.70
184,9.00,2.5,0.10,0.40,3.00,2.00,3.00
185,12.00,120.0,36.00,12.00,,2.50,3.50
186,9.50,5.9,0.70,0.00,2.60,3.00,1.50
187,9.50,3.7,0.50,0.40,3.30,3.00,2.80
188,10.20,252.0,36.00,0.70,1.20,2.50,2.00
189,10.40,60.0,36.00,,1.50,1.80,5.00
190,10.00,2.0,1.40,,0.50,3.50,3.00
191,11.30,1.6,0.00,0.00,5.00,1.00,3.20
192,11.30,3.2,0.40,0.40,3.00,3.00,2.00
193,,2.0,1.00,0.20,2.30,3.30,2.70
194,9.20,150.0,102.00,0.00,3.50,2.40,3.90
195,10.90,120.0,48.00,0.00,3.50,1.40,3.00
196,10.40,1.0,0.50,0.00,4.80,2.00,4.50
197,7.80,6.0,0.80,1.30,1.00,4.00,1.50
198,10.40,2.0,0.80,0.80,2.00,2.00,3.00
199,10.00,3.0,0.50,0.50,,1.50,3.60
200,9.60,360.0,,84.00,0.10,3.60,1.50
201,,2.2,0.70,0.00,2.80,1.60,0.50
202,9.30,0.8,1.50,0.00,1.00,1.80,2.30
203,10.60,,0.00,0.00,3.50,3.00,2.00
204,8.50,126.0,30.00,,4.80,1.50,3.50
205,9.90,not recorded,0.30,1.00,0.50,1.50,3.50
206,9.00,3.0,1.80,0.90,2.00,2.60,3.90
207,10.20,2.8,0.20,0.00,2.40,2.50,3.10
208,9.50,,0.00,0.30,3.40,1.00,5.00
209,8.20,162.0,0.00,0.00,4.00,3.00,3.00
210,9.50,3.9,0.50,0.80,2.50,4.00,1.50
211,8.50,5.5,1.00,1.10,0.50,5.90,1.00
212,8.40,7.0,1.70,1.20,2.00,3.50,0.50
213,10.10,2.5,0.80,0.00,1.50,1.50,5.00
214,10.00,4.1,0.40,0.90,2.50,,
215,9.90,5.6,0.00,0.50,,,4.00
216,9.50,2.0,0.80,0.00,0.90,2.10,3.50
217,10.00,2.0,0.60,0.10,1.00,3.20,1.50
218,10.50,1.1,,0.00,2.50,,4.50
219,10.50,4.0,0.60,0.70,1.00,4.00,2.50
220,7.50,186.0,,2.20,3.90,3.00,1.20
221,8.00,3.6,0.40,0.10,3.50,3.00,2.00
222,,228.0,72.00,,1.00,2.30,2.60
223,10.70,<1,18.00,0.00,0.00,2.30,3.50
224,10.00,3.5,1.50,1.10,2.00,0.00,1.80
225,9.00,210.0,36.00,0.60,4.10,2.50,1.60
226,8.20,not recorded,66.00,0.00,1.20,1.70,4.50
227,8.60,180.0,54.00,18.00,1.50,1.50,3.00
228,9.00,4.5,0.00,1.00,2.40,3.50,
229,9.60,2.0,1.70,0.00,2.30,0.60,
230,10.00,1.3,0.10,0.00,5.10,2.20,2.40
231,,5.0,0.70,0.00,1.70,3.90,2.00
232,10.00,2.7,0.10,0.00,3.30,3.80,3.50
233,9.30,5.0,0.00,0.50,2.90,2.00,3.50
234,9.00,0.2,1.10,0.60,5.50,0.00,3.20
235,7.00,270.0,30.00,42.00,3.00,,1.50
236,11.30,2.5,0.80,0.20,1.20,2.60,4.50
237,10.00,2.4,0.30,0.00,1.70,1.20,3.00
238,8.90,4.0,0.60,0.00,2.50,2.80,4.00
239,11.00,4.4,0.60,1.00,0.50,3.50,2.40
240,10.20,<1,84.00,0.00,6.00,1.20,4.70
241,11.70,1.0,1.10,0.40,5.90,0.20,
242,7.50,3.0,0.40,1.30,1.50,2.80,2.40
243,9.90,,0.60,0.10,1.30,3.40,0.90
244,9.00,1.9,0.70,0.00,4.00,0.50,5.00
245,9.50,4.5,0.50,0.60,,3.00,2.00
246,13.00,1.6,0.20,0.70,2.50,0.00,3.50
247,9.40,1.5,1.70,,1.60,0.30,3.30
248,11.00,2.1,0.00,0.50,3.00,2.80,4.00
249,11.20,0.0,1.30,0.80,2.00,0.00,5.60
250,9.40,4.5,0.60,1.50,1.70,2.50,
251,9.30,24.0,48.00,0.80,2.50,1.90,3.90
252,9.30,7.0,1.00,0.60,1.60,2.00,2.00
253,9.50,4.6,1.30,0.50,2.00,2.90,3.60
254,9.10,138.0,0.00,0.60,,2.60,4.50
255,10.50,1.2,0.00,0.60,2.00,1.30,4.00
256,11.80,,0.50,0.00,2.30,0.60,2.80
257,10.00,4.0,1.20,1.90,0.30,,1.00
258,8.90,306.0,24.00,0.70,3.60,2.50,1.50
259,11.00,4.0,1.00,0.00,1.20,2.20,2.60
260,,0.8,0.70,0.70,2.20,2.50,5.00
261,8.50,174.0,,0.90,1.90,4.50,3.40
262,9.90,3.2,0.80,0.50,,,1.60
263,10.00,4.5,0.00,0.00,1.00,5.30,0.70
264,9.00,0.5,0.40,0.50,7.10,0.60,5.00
265,10.70,1.1,0.40,0.40,3.00,2.00,2.20
266,11.50,1.4,0.40,0.80,1.10,0.00,4.00
267,9.80,3.4,0.30,0.70,4.80,3.50,3.00
268,8.50,30.0,84.00,0.90,6.40,1.50,4.50
269,9.70,4.0,0.00,0.00,2.20,2.20,3.00
270,10.60,2.9,0.30,0.30,2.00,3.00,2.90
271,9.80,120.0,6.00,0.00,1.50,1.50,3.50
272,8.30,5.9,0.60,0.90,0.50,4.50,1.70
273,11.30,2.2,0.60,0.00,2.40,2.30,4.00
274,11.50,210.0,18.00,0.00,3.20,2.80,2.00
275,11.70,1.7,0.00,0.60,3.10,1.00,3.10
276,9.00,210.0,6.00,54.00,3.40,0.80,4.10
277,8.90,4.2,0.70,0.00,2.20,4.00,1.90
278,8.50,5.0,0.90,,1.00,0.50,3.00
279,11.80,<1,90.00,30.00,1.70,1.00,2.70
280,10.00,3.0,0.60,1.60,2.50,2.20,3.50
281,7.50,360.0,24.00,1.50,1.20,3.00,3.50
282,9.40,270.0,42.00,30.00,3.00,1.00,
283,10.50,2.0,1.70,0.60,2.50,1.90,4.00
284,7.90,2.5,0.20,1.20,2.30,2.80,3.00
285,,3.3,0.80,0.10,2.20,1.20,4.50
286,8.50,270.0,60.00,0.90,2.30,4.00,0.50
287,10.50,2.0,1.20,1.80,3.60,1.70,2.30
288,9.00,3.1,0.70,0.10,2.00,2.00,4.00
289,10.90,1.0,0.40,0.00,1.40,0.40,
290,,216.0,54.00,0.00,3.00,3.50,3.50
291,,2.5,0.40,1.00,2.10,2.50,3.50
292,8.00,4.1,1.20,2.00,2.20,1.70,5.00
293,10.00,3.0,0.30,0.00,,2.00,4.00
294,10.50,3.0,0.80,0.00,3.00,1.80,2.40
295,8.80,3.1,0.90,0.60,4.40,1.40,2.70
296,8.40,4.0,1.20,0.60,1.20,,1.10
297,,6.5,0.00,0.30,0.70,,2.50
298,8.40,210.0,96.00,0.00,1.20,2.50,2.00
299,,0.0,24.00,0.00,3.50,3.00,3.50
300,11.00,4.5,0.50,0.50,0.90,3.50,2.00
301,11.20,>60,0.70,0.60,3.60,0.50,2.50
302,9.60,150.0,54.00,54.00,3.20,2.20,2.00
303,10.00,1.0,1.00,0.00,3.00,1.00,1.50
304,9.00,<1,96.00,90.00,1.60,3.50,0.50
305,11.00,3.4,1.00,0.30,1.00,2.20,3.50
306,,2.0,1.40,0.60,1.70,2.60,3.00
307,8.70,4.0,0.10,0.80,6.50,2.10,0.20
308,9.50,3.7,0.40,0.40,1.50,3.50,3.30
309,10.00,0.0,,0.00,2.00,2.60,4.00
310,10.20,1.0,1.90,,1.70,1.60,
311,9.60,0.0,0.50,0.10,6.70,0.00,4.10
312,,2.0,0.60,1.40,2.70,0.50,4.50
313,9.60,228.0,60.00,18.00,3.80,1.90,3.10
314,10.00,4.5,0.40,0.00,1.90,3.50,2.50
315,10.00,258.0,0.00,0.00,2.60,2.50,2.00
316,9.80,2.2,0.90,0.20,,2.40,4.70
317,9.50,1.6,1.10,0.30,2.00,,2.60
318,10.00,4.0,0.40,0.70,1.50,1.50,4.20
319,9.60,2.8,0.00,0.50,1.20,3.50,2.50
320,9.70,84.0,0.00,0.00,2.00,2.80,2.10
321,10.80,4.0,,0.50,2.20,3.00,3.00
322,9.00,3.0,,0.20,2.00,1.90,4.00
323,8.40,4.6,0.10,0.40,1.50,5.00,3.00
324,9.50,2.9,1.10,0.00,1.50,3.60,3.50
325,10.10,1.5,0.10,0.00,2.20,1.00,4.70
326,10.00,3.4,1.00,0.00,1.00,1.50,2.20
327,9.70,2.0,0.40,0.10,1.90,,4.10
328,9.50,4.0,0.00,0.30,1.70,4.00,
329,9.00,0.0,0.90,0.20,3.00,2.00,4.30
330,9.10,2.1,0.60,0.10,4.00,2.10,5.00
331,9.00,222.0,6.00,0.90,,1.90,4.50
332,9.50,2.5,,0.20,3.10,1.50,1.90
333,10.60,1.5,0.70,1.20,2.50,2.80,0.70
334,9.50,306.0,54.00,108.00,2.00,3.00,0.50
335,10.00,264.0,54.00,0.70,3.00,2.50,2.40
336,8.80,6.0,1.20,0.40,1.50,2.30,2.60
337,10.90,4.7,0.00,0.30,3.00,2.50,
338,9.00,6.5,0.00,0.90,0.90,4.00,1.70
339,9.50,1.3,0.60,0.00,3.00,1.30,3.00
340,10.20,2.1,0.30,0.00,4.90,2.50,1.80
341,8.10,2.2,1.10,0.10,2.00,2.80,3.00
342,,0.5,0.00,0.60,,2.00,4.50
343,7.40,3.6,0.40,0.70,2.50,5.00,1.50
344,10.60,3.0,1.60,0.60,1.60,1.60,3.10
345,10.00,0.5,1.50,0.50,3.50,1.30,5.00
346,12.00,4.2,1.10,0.50,1.50,2.00,2.50
347,9.00,4.5,1.50,0.30,2.10,3.50,
348,9.60,138.0,0.00,,5.00,2.00,4.00
349,8.50,1.5,0.60,1.60,4.00,2.50,1.50
350,10.50,2.5,0.10,0.10,0.50,1.50,2.80
351,10.00,1.0,0.30,0.80,4.50,2.50,
352,9.20,120.0,42.00,1.30,1.30,2.30,
353,10.10,1.4,1.00,0.80,0.20,1.80,3.70
354,9.30,4.0,1.10,1.90,2.50,1.10,2.00
355,10.50,5.1,0.90,0.00,1.50,3.00,1.70
356,9.00,1.0,0.40,0.00,4.50,1.20,5.00
357,9.50,,0.00,0.10,3.00,1.50,
358,10.00,126.0,126.00,0.60,2.00,1.50,3.60
359,10.10,2.7,0.40,,2.00,1.90,3.00
360,9.50,,1.00,2.20,1.40,3.50,0.00
361,9.50,5.0,0.70,,1.80,0.70,3.00
362,9.90,0.9,0.50,0.30,1.10,3.70,4.40
363,10.50,1.6,1.30,0.30,1.50,1.70,3.50
364,8.00,0.9,0.00,0.00,2.90,3.60,3.40
365,12.20,5.2,0.60,0.30,,1.70,2.00
366,10.00,1.0,1.40,0.00,,2.30,3.00
367,10.50,360.0,24.00,0.40,1.50,2.00,3.00
368,9.40,180.0,78.00,0.00,3.50,0.90,4.00
369,10.30,1.4,0.50,0.00,3.00,,3.70
370,,4.7,0.70,0.80,0.60,3.00,3.10
371,10.00,2.5,0.20,0.00,1.00,3.00,2.60
372,10.80,3.5,0.00,0.30,2.60,2.50,3.60
373,8.00,240.0,48.00,60.00,1.70,4.90,
374,11.50,1.5,0.30,0.80,4.90,0.90,5.00
375,8.20,174.0,,1.80,1.50,3.50,0.90
376,11.00,2.0,0.10,1.10,1.00,0.50,3.30
377,10.50,246.0,72.00,0.00,2.50,1.50,3.50
378,,,66.00,6.00,1.30,2.10,4.00
379,,7.3,1.30,0.30,1.00,1.10,1.50
380,8.50,204.0,30.00,,1.90,3.40,2.20
381,8.70,198.0,24.00,42.00,2.50,3.50,0.00
382,11.40,4.5,0.00,0.80,0.50,3.00,3.00
383,11.20,132.0,78.00,0.50,3.00,3.20,3.00
384,8.50,3.5,0.60,0.30,1.70,2.40,2.50
385,8.50,282.0,42.00,84.00,3.20,4.80,0.90
386,10.50,,60.00,36.00,2.00,1.40,3.40
387,9.00,>60,48.00,0.30,3.30,2.00,2.00
388,11.30,n/a,0.40,0.00,1.60,2.30,5.00
389,11.90,240.0,66.00,0.00,0.60,0.50,5.20
390,9.00,312.0,48.00,0.00,1.00,2.00,4.20
391,8.50,3.0,0.90,1.00,3.40,3.00,1.50
392,11.30,2.5,0.90,0.00,2.00,0.50,3.40
393,10.10,6.0,0.20,0.90,2.60,2.10,2.10
394,10.00,5.5,0.10,1.10,,4.70,
395,9.50,,0.00,60.00,2.00,1.90,2.70
396,10.60,3.5,0.30,0.10,2.30,2.20,1.80
397,11.10,3.7,0.00,0.20,,2.00,3.70
398,10.30,150.0,54.00,6.00,3.00,0.80,2.90
399,9.60,--,54.00,66.00,,2.00,1.50
400,9.00,,0.00,1.20,0.50,3.50,3.50
401,7.70,186.0,24.00,54.00,1.70,4.10,3.50
402,9.90,,0.40,,2.00,3.50,2.00
403,8.00,,0.80,1.40,2.00,2.50,1.20
404,8.10,210.0,18.00,0.00,3.50,1.30,4.00
405,8.50,420.0,72.00,72.00,0.00,,0.50
406,8.70,2.5,0.40,0.00,0.50,2.10,3.50
407,8.50,<1,30.00,,0.50,2.00,2.00
408,11.50,0.7,0.40,1.00,,0.00,4.50
409,10.40,6.0,0.10,0.00,1.00,2.00,3.50
410,10.50,2.5,0.10,0.30,3.00,1.60,1.50
411,,2.4,0.00,1.10,4.00,2.50,3.50
412,7.50,5.0,0.50,1.00,2.00,4.20,2.90
413,8.40,150.0,6.00,42.00,3.00,1.00,1.90
414,,144.0,24.00,48.00,2.50,4.00,3.00
415,10.00,3.2,0.80,1.00,3.40,0.60,4.00
416,9.00,6.5,1.20,,0.50,,3.00
417,10.00,3.5,0.80,0.80,2.00,3.70,1.50
418,9.40,2.5,1.10,0.00,2.50,3.20,3.40
419,9.50,198.0,60.00,,2.50,3.50,2.70
420,10.50,0.5,1.00,0.20,3.00,0.00,4.50
421,10.00,138.0,78.00,72.00,2.50,4.30,2.10
422,9.50,270.0,54.00,42.00,,1.80,3.50
423,9.40,4.0,0.60,1.00,1.40,3.00,1.50
424,9.00,5.1,0.90,1.00,1.10,0.50,3.30
425,9.50,186.0,6.00,1.30,,4.00,1.50
426,10.50,3.9,0.80,1.10,2.00,3.70,2.00
427,10.00,1.3,1.00,0.30,3.00,1.50,4.00
428,8.50,7.9,0.40,0.00,1.70,4.00,1.40
429,6.50,180.0,78.00,126.00,1.10,3.10,1.00
430,8.00,3.8,0.50,1.40,,2.80,3.50
431,8.50,3.5,0.80,0.90,1.50,5.50,2.00
432,8.70,6.5,,0.20,1.50,3.50,2.50
433,9.50,240.0,108.00,48.00,0.50,2.50,2.90
434,8.50,3.0,0.30,0.60,3.50,,2.50
435,10.50,,1.20,0.00,4.00,,1.50
436,10.00,6.0,1.00,1.40,0.80,2.50,1.70
437,11.00,0.0,0.30,0.20,4.00,1.50,4.60
438,10.00,n/a,,0.20,2.50,2.00,3.20
439,8.80,2.0,0.40,0.00,2.40,2.30,3.40
440,8.90,84.0,66.00,36.00,0.90,3.50,3.50
441,,2.9,0.80,1.10,,2.70,0.50
442,,150.0,78.00,0.00,3.50,1.30,3.50
443,10.00,6.5,1.30,0.80,1.00,0.00,4.00
444,8.50,n/a,30.00,78.00,3.00,2.50,1.50
445,12.00,2.5,0.40,0.00,2.50,2.80,4.00
446,10.50,0.0,0.40,0.00,0.90,1.40,3.60
447,9.50,174.0,6.00,36.00,2.50,,3.50
448,10.30,2.5,,0.00,1.70,,0.00
449,,2.5,1.00,0.50,1.50,1.80,3.70
450,8.80,3.2,1.00,,,2.00,4.00
451,11.50,0.0,0.90,0.00,4.00,1.30,3.30
452,11.50,,6.00,0.00,2.70,0.70,3.00
453,9.00,150.0,30.00,42.00,3.00,3.50,2.50
454,9.10,3.1,0.50,1.30,2.00,2.00,1.90
455,8.50,7.8,0.20,0.00,1.10,3.00,2.50
456,9.30,162.0,0.00,0.00,2.60,1.90,2.30
457,8.90,2.0,0.60,0.10,1.50,4.00,4.10
458,10.60,5.8,0.50,0.30,0.80,3.70,1.70
459,9.00,2.1,0.80,0.00,2.50,2.90,3.00
460,8.70,276.0,78.00,0.40,1.40,3.00,2.50
461,9.20,2.2,0.60,,5.00,2.10,4.50
462,10.00,,0.20,0.00,2.50,1.90,2.60
463,10.00,2.0,1.50,1.00,4.00,1.50,2.10
464,11.70,2.1,0.90,0.00,2.00,0.40,3.00
465,8.50,6.7,1.20,1.70,2.50,2.90,0.80
466,8.90,2.0,0.10,0.80,1.40,0.90,4.00
467,8.90,3.5,0.20,2.30,2.80,2.20,3.00
468,10.00,1.0,0.60,0.00,2.90,0.50,2.00
469,10.00,2.3,0.60,0.50,0.50,2.00,3.10
470,11.00,,0.00,0.00,7.00,0.20,2.00
471,9.20,2.6,1.30,1.20,4.60,3.50,2.40
472,10.80,3.0,0.90,0.20,2.00,0.50,
473,11.00,3.9,0.30,,1.80,1.90,
474,9.50,174.0,42.00,42.00,2.00,3.60,1.30
475,9.50,1.1,0.20,0.00,1.70,0.70,5.00
476,10.10,2.0,0.90,0.30,2.00,1.00,3.90
477,9.70,240.0,48.00,96.00,3.50,2.50,1.50
478,10.10,5.0,0.00,1.10,1.50,4.00,1.50
479,9.00,360.0,6.00,1.00,1.00,4.50,1.30
480,10.00,3.2,1.60,0.00,1.00,2.80,2.50
481,11.30,2.6,0.80,0.00,1.60,1.20,2.50
482,9.40,138.0,18.00,0.60,2.50,2.00,3.50
483,10.00,90.0,0.00,36.00,5.10,2.20,3.40
484,8.90,6.2,0.50,0.20,2.00,3.00,1.80
